FID,ADDRESS,CITY,STATE,ZIP,COUNTY,LATITUDE,LONGITUDE
195,200 KENNEDY MEMORIAL DRIVE,WATERVILLE,ME,4901,KENNEBEC,44.54182648,-69.66149107
196,6 EAST CHESTNUT STREET,AUGUSTA,ME,4330,KENNEBEC,44.31311976,-69.76843437
197,30 CHASE AVENUE,WATERVILLE,ME,4901,KENNEBEC,44.54919273,-69.65867356
198,6 SAINT ANDREWS LANE,BOOTHBAY HARBOR,ME,4538,LINCOLN,43.85034393,-69.63876929999999
199,515 QUARTER STREET,GLADWIN,MI,48624,GLADWIN,43.97594367,-84.49388756
200,502 W HARRIE ST,NEWBERRY,MI,49868,LUCE,46.35318009,-85.51565374
201,1500 SAND POINT RD,MUNISING,MI,49862,ALGER,46.42527107,-86.6251853
202,300 SOUTH STREET,BROOKLINE,MA,2167,NORFOLK,42.29831857,-71.14928568
203,620 BYRON RD,HOWELL,MI,48843,LIVINGSTON,42.61558756,-83.9409904
204,168 S HOWELL STREET,HILLSDALE,MI,49242,HILLSDALE,41.91173869,-84.63300353
205,30671 STEPHENSON HIGHWAY,MADISON HEIGHTS,MI,48071,OAKLAND,42.51788754,-83.12010727
206,400 MEDICAL PARK DR,WATERVLIET,MI,49098,BERRIEN,42.18488046,-86.24992583
207,1221 SOUTH DRIVE,MOUNT PLEASANT,MI,48858,ISABELLA,43.59912248,-84.76141286
208,1 N ATKINSON DRIVE,LUDINGTON,MI,49431,MASON,43.95814794,-86.43040938
209,408 HAZEN STREET,PAW PAW,MI,49079,VAN BUREN,42.22129436,-85.89707006
210,3559 PINE ST,DECKERVILLE,MI,48427,SANILAC,43.52811921,-82.73424915
211,2799 W GRAND BLVD,DETROIT,MI,48202,WAYNE,42.36768678,-83.08472312
212,404 WEST FOUNTAIN STREET,ALBERT LEA,MN,56007,FREEBORN,43.6523607,-93.37275229999999
213,32021 COUNTY 24 BOULEVARD,CANNON FALLS,MN,55009,GOODHUE,44.48616464,-92.90320229999999
214,"800 MEDICAL CTR DRIVE, PO 800",FAIRMONT,MN,56031,MARTIN,43.63880146,-94.450437
215,625 JACKSON ST N,SPRINGFIELD,MN,56087,BROWN,44.24661914,-94.97108361
216,800 HOSPITAL DR,COLUMBIA,MO,65201,BOONE,38.93666726,-92.32905785
217,1000 18TH ST NW,MANDAN,ND,58554,MORTON,46.8418693,-100.90769770000001
218,601 EAST ST N,ELGIN,ND,58533,GRANT,46.40732581,-101.8414635
219,1515 N MADISON AVE,ANDERSON,IN,46011,MADISON,40.13064559,-85.69320918
220,615 N MICHIGAN ST,SOUTH BEND,IN,46601,ST. JOSEPH,41.68405529,-86.25157885
221,2500 NORTH TENAYA,LAS VEGAS,NV,89128,CLARK,36.20553077,-115.2503564
222,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,89119,CLARK,36.11395958,-115.12450520000002
223,1331 EAST WYOMING AVENUE,PHILADELPHIA,PA,19124,PHILADELPHIA,40.01881298,-75.09946405
224,111 SOUTH 11TH STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,39.94970838,-75.15794605
225,51 NORTH 39TH STREET,PHILADELPHIA,PA,19104,PHILADELPHIA,39.95887248,-75.19926368
226,16TH STREET & GIRARD AVENUE,PHILADELPHIA,PA,19130,PHILADELPHIA,39.97148609,-75.16319015
227,UNIVERSITY & WOODLAND AVENUES,PHILADELPHIA,PA,19104,PHILADELPHIA,39.94788477,-75.20007509
228,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,MONTOUR,40.96814496,-76.60525611
229,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,GA,30115,CHEROKEE,34.229238,-84.466259
230,260 MJ TAYLOR ROAD,ADEL,GA,31620,COOK,31.10819893,-83.42737285
231,30 13TH ST,HAVRE,MT,59501,HILL,48.53807731,-109.68581780000001
232,169 ASHLEY AVE,CHARLESTON,SC,29425,CHARLESTON,32.78588204,-79.94792136
233,41 PERIMETER CENTER EAST,ATLANTA,GA,30346,DEKALB,33.9242473,-84.33106507
234,200 MEMORIAL DRIVE,LURAY,VA,22835,PAGE,38.66325,-78.468518
235,6847 N CHESTNUT,RAVENNA,OH,44266,PORTAGE,41.17605775,-81.24901729999999
236,4900 MUELLER BOULEVARD,AUSTIN,TX,78746,TRAVIS,30.30311083,-97.70702246
237,801 SEVENTH AVENUE,FORT WORTH,TX,76104,TARRANT,32.73707173,-97.34140504
238,521 ADAMS ST,MORTON,WA,98356,LEWIS,46.55567481,-122.2803544
239,13219 N MERIDIAN STREET,CARMEL,IN,46032,HAMILTON,39.98041995,-86.15347262
240,19333 W NORTH AVE,BROOKFIELD,WI,53045,WAUKESHA,43.0593759,-88.15451943
241,10101 SOUTH 27TH STREET,FRANKLIN,WI,53132,MILWAUKEE,42.86001258,-87.9540681
242,5000 W CHAMBERS ST,MILWAUKEE,WI,53210,MILWAUKEE,43.07412025,-87.9760734
243,3400 MINISTRY PARKWAY,WESTON,WI,54476,MARATHON,44.89018231,-89.58014599
244,3237 S 16TH ST,MILWAUKEE,WI,53215,MILWAUKEE,42.98565775,-87.93465729
245,2251 NORTH SHORE DR,RHINELANDER,WI,54501,ONEIDA,45.63947041,-89.37482659
246,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,39.7448932,-84.18590861
247,900 ILLINOIS AVE,STEVENS POINT,WI,54481,PORTAGE,44.52643184,-89.56709621
248,410 DEWEY STREET,WISCONSIN RAPIDS,WI,54495,WOOD,44.38175803,-89.82988944
249,333 PINE RIDGE BLVD,WAUSAU,WI,54401,MARATHON,44.96584185,-89.66789021
250,W3985 CTY RD NN,ELKHORN,WI,53121,WALWORTH,42.66189503,-88.49619199
251,1032 E SUMNER ST,HARTFORD,WI,53027,WASHINGTON,43.31840584,-88.36246156
252,10400 75TH ST,KENOSHA,WI,53142,KENOSHA,42.56939682,-87.93546502
253,5000 MEMORIAL DR,TWO RIVERS,WI,54241,MANITOWOC,44.12536783,-87.61945613
254,2451 INTELLIPLEX DRIVE,SHELBYVILLE,IN,46176,SHELBY,39.560356,-85.78581700000001
255,4015 22ND PLACE,LUBBOCK,TX,79410,LUBBOCK,33.57340325,-101.900592
256,10 JOHN KISSINGER DRIVE,WABASH,IN,46992,WABASH,40.820937,-85.823901
257,9330 BROADWAY,CROWN POINT,IN,46307,LAKE,41.44880307,-87.33726012
258,8885 SR 237,TELL CITY,IN,47586,PERRY,37.967931,-86.731667
259,667 EASTLAND AVE SE,WARREN,OH,44481,TRUMBULL,41.23091175,-80.77715528
260,1350 EAST MARKET STREET,WARREN,OH,44482,TRUMBULL,41.23585592,-80.79877826
261,810 12TH STREET,HOOD RIVER,OR,97031,HOOD RIVER,45.70483197,-121.52390859999998
262,350 N WALL ST,KANKAKEE,IL,60901,KANKAKEE,41.12508686,-87.88189889
263,170 FORD ROAD,JOHN DAY,OR,97845,GRANT,44.41711272,-118.9596915
264,45 READE PL,POUGHKEEPSIE,NY,12601,DUTCHESS,41.69385894,-73.93578611
265,462 GRIDER ST,BUFFALO,NY,14215,ERIE,42.9250771,-78.83114577
266,601 ELMWOOD AVE,ROCHESTER,NY,14607,MONROE,43.12280887,-77.62425943
267,300 COMMUNITY DR,MANHASSET,NY,11030,NASSAU,40.77763592,-73.70161094
